alg: DDPG_1_no_potential, n_uav: 9, n_gts: 70, reward_avg: -4810.05
alg: PPO_no_potential, n_uav: 9, n_gts: 80, reward_avg: -7018.92
alg: DDPG_potential, n_uav: 9, n_gts: 80, reward_avg: -5774.58
alg: PPO_no_potential, n_uav: 9, n_gts: 80, reward_avg: -6773.68
alg: DDPG_no_potential, n_uav: 9, n_gts: 80, reward_avg: -5589.59
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 80, reward_avg: -5496.30
alg: PPO_no_potential, n_uav: 9, n_gts: 90, reward_avg: -6927.09
alg: DDPG_potential, n_uav: 9, n_gts: 90, reward_avg: -6412.87
alg: PPO_no_potential, n_uav: 9, n_gts: 90, reward_avg: -6891.50
alg: DDPG_no_potential, n_uav: 9, n_gts: 90, reward_avg: -5750.40
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 90, reward_avg: -5910.03
alg: PPO_no_potential, n_uav: 9, n_gts: 10, reward_avg: 0.00
alg: DDPG_potential, n_uav: 9, n_gts: 10, reward_avg: 0.00
alg: PPO_no_potential, n_uav: 9, n_gts: 10, reward_avg: 0.00
alg: DDPG_no_potential, n_uav: 9, n_gts: 10, reward_avg: 0.00
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 10, reward_avg: -864.40
alg: PPO_no_potential, n_uav: 9, n_gts: 20, reward_avg: 0.00
alg: DDPG_potential, n_uav: 9, n_gts: 20, reward_avg: 0.00
alg: PPO_no_potential, n_uav: 9, n_gts: 20, reward_avg: 0.00
alg: DDPG_no_potential, n_uav: 9, n_gts: 20, reward_avg: 0.00
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 20, reward_avg: -1501.71
alg: PPO_no_potential, n_uav: 9, n_gts: 30, reward_avg: 0.00
alg: DDPG_potential, n_uav: 9, n_gts: 30, reward_avg: 0.00
alg: PPO_no_potential, n_uav: 9, n_gts: 30, reward_avg: 0.00
alg: DDPG_no_potential, n_uav: 9, n_gts: 30, reward_avg: 0.00
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 30, reward_avg: -2145.93
alg: PPO_no_potential, n_uav: 9, n_gts: 40, reward_avg: 0.00
alg: DDPG_potential, n_uav: 9, n_gts: 40, reward_avg: 0.00
alg: PPO_no_potential, n_uav: 9, n_gts: 40, reward_avg: 0.00
alg: DDPG_no_potential, n_uav: 9, n_gts: 40, reward_avg: 0.00
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 40, reward_avg: -2875.03
alg: PPO_no_potential, n_uav: 9, n_gts: 50, reward_avg: 0.00
alg: DDPG_potential, n_uav: 9, n_gts: 50, reward_avg: 0.00
alg: PPO_no_potential, n_uav: 9, n_gts: 50, reward_avg: 0.00
alg: DDPG_no_potential, n_uav: 9, n_gts: 50, reward_avg: 0.00
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 50, reward_avg: -3474.46
alg: PPO_no_potential, n_uav: 9, n_gts: 60, reward_avg: 0.00
alg: DDPG_potential, n_uav: 9, n_gts: 60, reward_avg: 0.00
alg: PPO_no_potential, n_uav: 9, n_gts: 60, reward_avg: 0.00
alg: DDPG_no_potential, n_uav: 9, n_gts: 60, reward_avg: 0.00
alg: DDPG_1_no_potential, n_uav: 9, n_gts: 60, reward_avg: -4034.50
