Time:1, step:7, uav_id:4, uav_pos:[214.91318178 166.0304001  100.        ], uav_lab:5
Time:1, step:7, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:7, uav_id:6, uav_pos:[118.89367199 245.42806006 100.        ], uav_lab:7
Time:1, step:7, uav_id:7, uav_pos:[219.11151981 245.87926674 100.        ], uav_lab:8
Time:1, step:7, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:8, uav_id:0, uav_pos:[ 93.42313957 117.18655777 100.        ], uav_lab:3
Time:1, step:8, uav_id:1, uav_pos:[229.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:8, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:8, uav_id:3, uav_pos:[129.85558414 148.3066531  100.        ], uav_lab:4
Time:1, step:8, uav_id:4, uav_pos:[222.97087622 160.10810692 100.        ], uav_lab:5
Time:1, step:8, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:8, uav_id:6, uav_pos:[128.89367199 245.4280618  100.        ], uav_lab:7
Time:1, step:8, uav_id:7, uav_pos:[229.11151981 245.87926849 100.        ], uav_lab:8
Time:1, step:8, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:9, uav_id:0, uav_pos:[ 98.82616234 125.60126781 100.        ], uav_lab:3
Time:1, step:9, uav_id:1, uav_pos:[239.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:9, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:9, uav_id:3, uav_pos:[139.85558414 148.30665485 100.        ], uav_lab:4
Time:1, step:9, uav_id:4, uav_pos:[232.97078657 160.06574181 100.        ], uav_lab:5
Time:1, step:9, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:9, uav_id:6, uav_pos:[138.89367199 245.42804925 100.        ], uav_lab:7
Time:1, step:9, uav_id:7, uav_pos:[239.11151981 245.87927024 100.        ], uav_lab:8
Time:1, step:9, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:10, uav_id:0, uav_pos:[104.2291851  134.01597786 100.        ], uav_lab:4
Time:1, step:10, uav_id:1, uav_pos:[249.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:10, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:10, uav_id:3, uav_pos:[149.85558414 148.3066566  100.        ], uav_lab:4
Time:1, step:10, uav_id:4, uav_pos:[242.97072363 160.03018588 100.        ], uav_lab:5
Time:1, step:10, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:10, uav_id:6, uav_pos:[148.89367199 245.42795086 100.        ], uav_lab:7
Time:1, step:10, uav_id:7, uav_pos:[249.11151981 245.87927198 100.        ], uav_lab:8
Time:1, step:10, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:11, uav_id:0, uav_pos:[109.63220787 142.4306879  100.        ], uav_lab:4
Time:1, step:11, uav_id:1, uav_pos:[259.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:11, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:11, uav_id:3, uav_pos:[159.85558414 148.30665835 100.        ], uav_lab:4
Time:1, step:11, uav_id:4, uav_pos:[252.96952009 159.87500721 100.        ], uav_lab:5
Time:1, step:11, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:11, uav_id:6, uav_pos:[158.89367199 245.42794307 100.        ], uav_lab:7
Time:1, step:11, uav_id:7, uav_pos:[259.11151981 245.87927373 100.        ], uav_lab:8
Time:1, step:11, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:12, uav_id:0, uav_pos:[115.03523064 150.84539795 100.        ], uav_lab:4
Time:1, step:12, uav_id:1, uav_pos:[269.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:12, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:12, uav_id:3, uav_pos:[169.85558414 148.3066601  100.        ], uav_lab:4
Time:1, step:12, uav_id:4, uav_pos:[246.11689854 167.1579724  100.        ], uav_lab:5
Time:1, step:12, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:12, uav_id:6, uav_pos:[168.89367199 245.42794482 100.        ], uav_lab:7
Time:1, step:12, uav_id:7, uav_pos:[269.11151981 245.87927548 100.        ], uav_lab:8
Time:1, step:12, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:13, uav_id:0, uav_pos:[120.4382534  159.26010799 100.        ], uav_lab:4
