Wall time,Step,Value
1765981524.6472201,0,3.940000057220459
1765981526.1630323,1,5.010000228881836
1765981527.4658709,2,4.019999980926514
1765981528.8902116,3,0.3799999952316284
1765981531.407295,4,3.369999885559082
1765981534.7240863,5,-0.23999999463558197
1765981538.2927158,6,-2.490000009536743
1765981542.7801242,7,-2.690000057220459
1765981550.0573354,8,-4.909999847412109
1765981557.0692525,9,-3.369999885559082
1765981563.797174,10,-3.809999942779541
1765981570.8804228,11,-2.180000066757202
1765981578.07973,12,-0.9300000071525574
1765981585.3373852,13,0.3700000047683716
1765981592.7081134,14,-1.7899999618530273
1765981600.2888372,15,-3.0
1765981608.0751803,16,-1.0199999809265137
1765981616.0307398,17,-0.36000001430511475
1765981623.491317,18,-2.1700000762939453
1765981630.9283512,19,-1.9299999475479126
1765981638.7807815,20,-0.009999999776482582
1765981646.647129,21,0.15000000596046448
1765981654.7144163,22,-3.6600000858306885
1765981662.9503145,23,-2.640000104904175
1765981671.6095433,24,-1.0099999904632568
1765981680.4183872,25,-1.0299999713897705
1765981689.331084,26,-0.28999999165534973
1765981700.1508398,27,-0.27000001072883606
1765981711.91872,28,-1.899999976158142
1765981726.806519,29,-2.8299999237060547
1765981741.2863743,30,-1.1299999952316284
1765981752.5728931,31,-3.4600000381469727
1765981764.773912,32,-3.4000000953674316
1765981775.9609032,33,-2.509999990463257
1765981787.1328466,34,-2.950000047683716
1765981799.722064,35,-2.509999990463257
1765981812.7283897,36,0.8600000143051147
1765981824.9690573,37,-0.8700000047683716
1765981837.6171796,38,-1.1200000047683716
1765981850.1651251,39,-1.4199999570846558
1765981863.3341558,40,-0.5699999928474426
1765981876.3857913,41,-0.9700000286102295
1765981889.939399,42,-2.1500000953674316
1765981906.0331426,43,-1.3200000524520874
1765981920.5934963,44,-0.9800000190734863
1765981935.6736524,45,-1.1799999475479126
1765981951.2268417,46,0.3100000023841858
1765981966.842502,47,-0.3100000023841858
1765981982.90329,48,-0.9399999976158142
1765981999.0855877,49,-0.30000001192092896
1765982015.6859646,50,-1.2400000095367432
1765982031.881158,51,-0.14000000059604645
1765982049.4993227,52,-0.8199999928474426
1765982066.99712,53,-0.1599999964237213
1765982083.4676802,54,-0.6600000262260437
1765982100.128971,55,-1.0700000524520874
1765982116.9992585,56,-0.9100000262260437
1765982133.8305442,57,-0.3700000047683716
1765982153.5502026,58,-1.2799999713897705
1765982176.1802223,59,-0.3400000035762787
1765982195.8831234,60,0.07999999821186066
1765982215.7475278,61,0.029999999329447746
1765982234.4752848,62,1.2100000381469727
1765982253.6000452,63,-0.800000011920929
1765982274.4461904,64,-0.07999999821186066
1765982294.519633,65,-1.8700000047683716
1765982314.480507,66,-1.0800000429153442
1765982335.313938,67,-0.029999999329447746
1765982350.237507,68,-0.38999998569488525
1765982365.2801867,69,0.30000001192092896
1765982380.497257,70,1.1200000047683716
1765982395.8407025,71,1.4700000286102295
1765982411.4773016,72,1.9199999570846558
1765982427.936782,73,2.359999895095825
1765982444.7234914,74,-0.2800000011920929
1765982462.037863,75,-1.2200000286102295
1765982479.1037621,76,1.6299999952316284
1765982496.6997766,77,-1.6699999570846558
1765982514.5255716,78,1.600000023841858
1765982532.4219205,79,-0.10000000149011612
1765982551.4856758,80,1.590000033378601
1765982571.0883346,81,-2.5299999713897705
1765982591.2791781,82,0.20999999344348907
1765982611.5315788,83,-0.5299999713897705
1765982623.712433,84,0.9700000286102295
1765982636.4375305,85,-0.18000000715255737
1765982649.095889,86,1.9900000095367432
1765982662.1777563,87,3.1500000953674316
